order_id,products
4602,47766 329 29950 29307 1560 8424 21903 27156 40706
4655,21137 39871 13176 35594 45303 12492 14086 30529
4686,24852 37803 35948 169 5727 33548 39993 2639 47626 5025
4848,13176 27695
4917,39001 31562 21405 7830 21137 11136
5007,43154 11759
5011,41276 24852 12909 37895
5041,24852 44910 41787 23909
5058,14783 18523
5082,13176 33719 39275
5095,38200 29615 45061 16223 32566 47660 24852 6340
5109,19348 43352 42282 4724 6184
5128,14168 25842
5166,5132 24852 44632 45066 21709 33037
5216,4605 47626
5349,36431 15777 6286 30850
5366,13176 47209 10551 47717 12858 42903
5400,36036
5415,6729 42500 37710 5258
5525,27086 34335
5918,40174 18465 49683 21903 46979
5921,47209 18465 20114 11109 26209
5989,24852 30233 47209 28071 15950 21903 39040 7963 6492 19057
6067,24852 16083 10831 47766 4793 15950 7054 41787 14992 43352 21137 46979 41588 26790 31717 48733 15221 260 11068
6073,6184 13575 37710
6100,196 46149
6104,21137 41453
6138,23909 29077 10106
6222,13080 43868 37687
6275,38672 37592 16797 16874
6313,19348 24852 44799 44359 23322 47890 45188 38890 7644 28842
6346,47766 37646 42585 42244 21616 47626 19204
6482,42731 24186
6490,24852 3594 17008
6506,47209
6530,13176 45066
6533,47141 25146 43772 9762
6535,17397 9124 37156 47119 11844
6645,196 36227 22395 37849 23909
6718,31371 45763 12341 24852 26096
6751,13176 27845 19660 21497 16797
6763,27845 24852 6348 47766 48140 14711 30776 24489 28458 48577 30011 20995 30489 3717 24535 34969 38456 29195 4410 26634 40706 47223 39781 49264 7413
6932,22959 36307
6967,37067 30024 19677 45007 49235 27695 17600 31717 1443 24852 15707
7000,37919 49235 9387
7074,14233 37552 21616 22035 33957 42450 21646 47209 4297 8012 20754 35914 6606
7125,40600
7187,None
7213,30162 12341 43352
7298,42585 45815 24852 10388 47144 7419 45763 17352 19006 45066 39238
7370,33754 24852 35871 19660 48190 42160
7373,19691 31564 17615 43565 15120
7387,29672 41860 30635 8193 30982 40706
7508,33090 19220 24852 38739 13966 9068 39993 4140 2152
7594,40332 45998 29019
7617,24852 47766 47626 45066 40706 47156 24253 26209 49114 48679 44632 2326 17461 24841 21616 27344 29993 25340 24964
7669,45066 27845 26604
7671,39161 42719
7683,24852
7736,19348
7788,4233
7837,27845 14084 44632 5646 3481 24852 26620 45007 47626 39275 26209 27156
7868,22123 13806 24024 260 24852
7908,36011 19348 24852 39877 47630
7909,1511 28204
7982,44632 38558 30489 23044 35594 30233 13176 5450 8277 3952 21903 45
8030,37067 27966
8038,47141 43154 49683 5785
8041,12674 16415 13176 47209 11520 19893 48057 27845 12107 18243 33813 46969
8111,40723 42265 39275 39427 27730 8174 8186
8156,3765 24852 3583 3243 32655 47626 32684
8164,13176 20463
8185,15386 18104 22943 31954 5251 34467 24184 48657
8188,21903 33000 24184 13176 27845 30492 49683 45007
8240,12606 9036 8277
8282,47766 35221 34969 21137 28993 48287 28204 44843 1511 31766 37950 1871 13536 19678
8284,16797 49235 36691 13176 20161 4213 6846 33237 10673 21131 49628 38890 22675
8326,28427 6209 15424
8363,42585 32828 42265 8927 46260 13176 32734 24964
8418,28985
8450,38620 9411 36315
8458,12732 5157 44371
8514,13176 4138 30776 48559 35951 34137 22959 27272
8608,30489 9421 17027 23025 47209 19057 6402 8174 36724 35221 34044 21174 23959 21137 22677 42265 35364 8912 35461
8795,13166 9208 24669 48083 5194
8865,16528
8876,15424 44267 21938 42811 21709 33198 40277 27429 12817 39949 38371 4188 47877 695
8887,39041 25830 46023 43523 42887 27413
8989,28934 28553 6347 436 8412 42557 16965 34325 46802
9071,9421 21872 36735 18362 26768 13176 29112 30776 27086 6187 24838
9175,24852 27086 2780 5450 22115 4825
9190,21100
9272,43352 33000 13176
9300,24852 21903 8424 24964
9318,None
9356,26209 19008 24852 34658 11712 39837 22292
9391,38444 46822
9427,48776 5077 42460 3020 39275 36005 47083 27966 28199
9446,47209 38777 24964 29801 22935 46667
9503,47766 38293 8277
9526,21137 24852
9564,23079 42244 33352 21903 17948 27966 24489 26298 11494 27086 46979 5450 45578 15950 26209
9824,45741 2966
10061,43352 30827 21288
10126,35886 35951
10176,24852 39746 17317
10338,28745 2361 40709 2452 24631
10462,35689 13176 47766 22935 35958 16981 26209 35364 5491 28122
10464,None
10537,26165 44910 39928 13409 13176 1468
10583,25199 37349 24852
10600,47766 35842 8277
10620,24852 37347 47209 5566 29615 1062 12481 43815 4210 10603
10772,15386 21137
10840,47766 21938 29487 8424 49683 15592 26497
10849,7753 15482
10955,13176 5684 30489 22825 47766 2611 44422 34243
11026,48857 40174 16797 33731 43654 18465 4781 13176 33787 47766 18523 25936
11044,15412 2915 4423
11145,12140 23909 7226
11224,28204 5785 7559 39877 1090 19895 2130 28597 40092 23645 23576
11326,6348 24024 24852 47766 20574 10369 25199 10545 16262 5640 38033 26842 38988
11408,24852 21709 5025 14947 30489 26209 47766 21009
11518,24549 45223 32747 1439
11549,6218 17794 21903 24184 22935 45007 24964
11556,26165
11606,37449 14161 21610 10768
11623,6724 6348 12683 184 6128 27060 31964 12576
11659,29315 19348 28599 27360
11664,45613 47626 14764
11697,46149 10441
11749,18224 10070 23685 21903 2078 21616 32523 25138 1463 42579
11849,29244 1364 22825
11888,8736
11943,24852 12315 47766 9825 24964 43961
11974,38809 7029 17044 28670 30489
11987,32478 4724
11992,36764 12341
11994,13634 12606 40199 39332 37317
12054,1541 24852 25379
12184,40174 47196 31371 7676 13629 25890 49235 13176 43749
12187,12341 16696 49683
12233,24852 47144 21137 23765 22035 11520 15950 1896 27663 47626 25695
12234,24838 7131
12253,16192 21793 49193 40174
12258,42265 21137 1999 10749
12323,27966 27845 21137 24852 44632 37646 35221
12338,7350 16965
12478,13245 6182 38200 31717 34126
12517,21137 13176 4945 40571 47209 19660 49520
12553,36969 44632 24024 22556 26620 39180
12571,30696 47144 40078 28823 18811 16570 47626 19057
12662,13176 36746 21137 5785 45007 14992 30391 33731 31504 16987 26369 23165 19934 7084 47209 48015 10749 21903 43087 18465 8414 28289 34243 16759 31181 7781
12745,43739
12754,31981 43209 24041 32605 45116
12846,None
12881,28204 24024 13176 36865 47209 43662 44422
12891,39408 26698 24852
12894,27288 21386 45541 26047
12938,33572 6081 48523 27571 47766 46138
12948,24852 44570 42633 6046 2966
13003,10749 13176 1364 24195 8424 28593 14778 21137 37766 5161 33055
13024,38622 39877 2019
13040,27845 33000 21497 18610 28842
13085,24852 49235
13128,14947 20697 45066 30146 17706
13132,38267
13160,20842 32553 13176 40396 7936 46226 38889
13188,7781 20327 47209 36011 24852
13195,24852 27521 30489 16797 47630 21137 30391
13210,30975 14084 4562 43014 44570 27247 31562 32303 46906 24184 15592 25513 43068 38557
13241,35121 47209 8409
13250,47209 21903 38164 48109
13433,3896
13441,26364 31100 43643 20899
13471,196
13497,24184 47766 18673 19836 9510 39953 35914
13533,17341 21397 16483 29925 7380 17795 196 13388 15924 43221 44129 40261 13578 54 27179 43409
13534,21288
13545,43693 196 649
13557,47766 3957 9213 4675
13564,24852 8859 37687 45066 42719 14992 38400 12980
13608,40310 22559
13680,13176 17902 19057 41220 5876 47209
13715,19348 15820 34026 19863 6686 5077 7751 2469 9176 516
13733,19057 49235 13176 21903 31955 48123 33120 35221 21137
13747,25670 22935 44987 27845 17794
13787,6533
13812,27845 24852 45066 39877 35951 11520 20169 26604 16254 30489 9839 21137 14947 22935 44632 33731 16593 22556 22035 48857 27521 40545 46906 48110 33000
13879,44632 48957 35221 4274 8197 7806 18702 24242 28761 29487
13936,26165 16797 28820 13176 7681 44359 20947 31964 8968 45066 47766 46820 16398 39448 9839 44514 31893 23165 24184 9076 42741 32781 19376 4472 20114 1087 47626 37646 27104 41149
13977,27521 21903 39877 9839 24838 5876 4149
13982,30352 3562 44199
14003,47209 37067 7175 33015 2855 27966 33682
14049,6414 31964 17758 1831
14098,16489 49235 287 1447 21927 6286 3990 30274 27344
14124,13702 43772 24184 432 12341 15923 8204 1429 13176 27903 49683 2091
14232,14788 15424 15269
14346,24852 42460 45066 44948 15902 36070 33894 17008 9547 17600 5176 5077 3609 24239 47209 18659 44497 38936
14369,11869 23909 24920 47940 5818 6139 9755 37354 6052
14407,38689 3631 19173 26790 34448 13447
14422,None
14453,36676 45007 27325 14870 39877 19660
14484,21410 21573 47766
14616,30776 27325 37687 33320
14697,6347
14729,24852 14493 4210 16797 11210 5077 16020 14320
14750,29447 12392 37067 30233 47209 21903 31100 22035 10749
14773,27246 23560 25146 35909 46479 33464 5782 702 45061 44632
14817,36591 5918 26587 39815
14850,31651 38928 6184 45051 12427
14936,3594
14974,44292 24852 30850 1940 20842 16882 46870 31640 45835
14994,1940 11520 47209
15028,12341 16283
15066,10962
15067,45007 22368 44596 47766 8424 20995
15069,36714 1194 29996
15076,46088 36550
15094,47144 31987 18465 21137 27966
15272,11520 13176 43961 14112 30489
15286,45066 37766 43122 26604 37959 21903
15332,None
15345,19348 24852 34283 29609 6383
15375,11365 43352 21288 35652
15390,41165 26096 17949 24852 7952 17948
15393,12427 38928
15400,46820 5077 19155
15422,24852
15447,24852 4210 40310 13944 4190 20828 27147 42538 44799 11497 47144 45832 39059 47962
15481,24852 43209 4920 23909 47926
15518,45007 25138 47209 27966 8174 41065 46847 27521 39275 37067 48745 24964 30167 21903
15553,47156 13431
15718,27845 4957 5077 27454 45537 3599 18465 33754 24852 27344 2298 47209 35221
15740,25237 44315 32440 3696 3990 13277 1543
15804,14233 42500
15888,None
15928,23082 24852 10132 44632
15972,13176 47209 22035 18362 37646 43122 6651 27695 38689 10749 30117 30489 30391 21903 26209 2091 39877 13870 40706 25072 28597 5161 28476 22935 42585 45082 30024 16396
16148,23909 23965 46023
16160,38771 49235
16169,33894 33065 38562 30776 32331 15902 3661 47792 11878 49544 13176 19625 30117 8580 34565
16225,35782 13176 19125 8192 32112 4920
16258,5428 22220 30489 6218 35140
16287,12341 13176
16295,48183 15290 26172 13287 44142
16323,39180 24852 9934 45066 4799 44008 4605 37374 21137 26209 42828 42736 24964 8193 14150 47626
16467,13889
16471,45066 37687 4812 45 11520 47900 36983
16511,13176 47626 45007 21267
16593,27511 10722 49131
16738,21903 16797 30827
16806,25890 47766 28849 41463 14126 26209
16867,35213 36126 28465 30489 8277
16880,31981 12772
16983,24852 29310 38028 6655 20345 5959 47209 28156
17039,19660 39275
17044,19660 46820 21903 47766 34786 24964 40571 45066
17051,22935 46616 16083
17106,15520 34024 27323 31036
17124,47766 47144 27845 39781 4920 36865 13249 44949 13176 1700 22825 21903 9071 34590 30489 24852 45066 31371 24857 27741 47792 10108 49175 29363 1090 260 38028 3142
17151,24703 21351
17200,21903 13176 42265 30489 7781 18839 25906 32747 6187 28745 28601 26283 21616 6046 47766 21295 16589
17209,43295
17250,13176 19348 45066 30489 49235 34128
17279,27845 47209 49235 13176 21137 33731 17758
17396,13176 14633 29675 19057 21137 39180 30962
17474,24852 13829 43961 40706 26209 4605
17575,29594 5785 10070 24852 22240 19057 21137
17751,40255
17781,25461 12919 32331 33394
17795,39475 14011 6046
17812,35221 22556 21903 39877 47626 21938 8193 44765 24852 26282 45007
17889,43154 21572 13575 32455 6184
18077,8745 27307
18113,47766 3107 40332 17008 8424 31134
18145,4210 30630 40156 17021
18146,24852 16797 10199 12341 28204
18156,29373 16234 5077 2164 459 17616 13176 25146 10673 27966 36459 14399 24010 22124 24830 14437 33129 33045 2966 30511 2519 41665 41602 40486 6128 40878 46820 10132 5782 18439
18213,13176 8277
18221,27845 15290 21137 24852 44632 8087 36695 22035 45066 22825 47766 260
18258,13176 38689 21137 19660 27966 30391 41703 37947 14992 43122
18278,13176 5514 35628 47209 28476 39877 5479
18294,29594 22124 26914 24852 44910 22035 39877 21903 47059 4960 39527
18349,38453 24852 22935
18362,18811 18288
18367,13176 24852 22935
18383,15424
18511,5785 6656 23543 5479 25598 13176 47209 31720 32134 39877 44397 30489 8277 34429 17948 40691 21903 4097 14596 46969 28289 44075 15794 37825 16616 36389 40706 2780 21417 19548 22935 17949
18531,24852 27841 4210 459 23341 8474 37065
18542,34339 28934 45948 5646 43154
18551,39275
18559,40174 25199 43352 24852 17949
18582,31635 11777 8277 13176 10753 2592
18635,44820 16262 38689 21616 33731 18205 31714
18649,21386 14715
18660,13176 5785 16185
18671,27845 13176 47788 41787 44661 15503 35045 8834 26604 21497 39844 19906 21463 11777 44570
18748,13166 25718 47209 19611 4138
18836,17805 22906 42723 40332 43014
18858,24852 27325 27086 30489
18920,31846 42475
18925,27966 5212 13176 11777
18937,30391 44359 36389 12846
18964,13176 24838 22035 42585 5450 4920 46654 5764 40723
18967,37377 10613 6046 4562 9076 30696 10673
18996,8859 117 43988 31654 5876
19099,33198 11712 14966 45007 47209
19263,6361 40852 21137 30639 13176 27104 47209 8277 44359 10749
19292,14084 24852 36011 21137
19299,387 41148 17616 41455 36144 28928
19361,24852 35951 17948 49236 40545
19388,13176 27521 47734 17795 24830 43961 24964 10749 42768 31717
19420,46906 42443 24852 32018 49628 42585 39468 8912 29557 12941
19438,5322 21376 24852 34262 42342 47626 49683
19443,30776 21198 47626 45747 41950 24852 12576 39190 39947 24184 43789 21938 13733 20114
19506,20261 16797 25986 10497 29660 34986 19604 18721 12576 13532 45064
19588,47626 16797
19619,4210 39698
19719,8859 13176 14966 5876 38033 47209 27966 5450 41806 1947
19727,12341
19759,25842 37141
19774,13176 27086 18113 24561 32981 37646 33198 16185 40604 31611 21903
19786,44201 37646 13176 4957 19057 47626 7963 46969 39190 34224 32033 9637 30219 47766 27554 22915 37838 1096
19836,47766 41065 38689 16083 19057 22035 29307 9839 43352 42110
19883,11826 30696 43772 24852 37940
19927,21903 24852 3957 47626 24184 22164 40706 16797 28934
19974,47626 45268 47546 36205
20130,40571 33754 39411 6201 29309 17807 10145
20158,28204 37646 40706 21903 16616 30489 47209
20220,38146 5287 23909 24852 39921 10326 46023 16797 32915 14131 33894 40592 33819 3171 39297 14636 9796 4517 31725
20235,24852 30489 46627 42633 13166 31883 22963 42342 18035 18641 29926 11950
20345,13176 27966 21137 24852 14870 42265 15290 7916 27344 45066 34511 37646 26165 15399 41787 43352 27548 28465 10753 23043 17652 7781 47672 36406 39275 18465 37029
20410,32578 49235 28204 40706 5876 13176 21903
20502,19677 27966 18564 24852 28476 7673 29447 44765 1695 20114 26209
20504,37687 13176 21903 28985 30391 32553 18465
20524,44799 24852 32115 24703 8859 31509 45296
20525,24852 42719 30233 5785 21903
20750,22308 9124 15469 19218 8859 4210 7644 12916 40777 47626 44528 36274 13783 24184 33957 27554
20765,24852 14947 40174 35221 10032 40332 16797 20824 47766 35252
20797,21903 31964 8518 23909
20801,9829 40376 39276 37067 48527
20806,24852 19348 26505 7413 12276 37886 39698
20851,24852 24184
20852,12608 13643 17912 196
20872,13755
20894,39251 44948 32981 5876
20898,25837 6750 22149 38558 41565 30233 49235 23148
20975,19511 37436 22340
21043,36011 49235 5785 46802 18523 33754
21103,17122 46149
21109,47209 19348 49381 26209 29487
21121,18523 24852 39408 4605
21129,34047 42078
21194,24852 39947 11520 48679 36285 48287 24838
21198,43720 10326 35336 21137 15200
21227,47209 17461 49583 28204 21162 13025 13629
21232,1194
21262,24184 44560 28204 13176 36550 24852 47626
21279,8859 26384 9515 4210 24852 6846 3040
21297,12341 1689 13176 4724 16797 4920
21309,24852 17316 17600 37294 10957 1069 2770 30949 27913
21455,5514 35834 11520 47626 47766 24964 43086 13176 45066 4410 40706
21517,21903 34466 14218 49683 49235 26209 17794
21569,21903 49683
21591,36923 39046 6899 7274 2140
21602,32480
21611,41950 35495 36929 3682 24184 3396 46226 6268 23801 2855 7388 31467 7485
21628,4472 11422 24838 2855 48171 29447
21882,26940 21903
21912,29373 43094 37658 8195 8277
21937,34050 24852 28174 47626 39993 27428 41351
21941,31205 21903 12341 27845 25133 48679 41544 40706 43961 28928 33401
21969,21019 25890 20842 43961 4920
21990,24852 35914 16994 42193 8671 21137 30696 5750 10246
22033,47766 43662 47626 4605 20114 44632 35221 16797 17878 24964
22049,None
22058,35547 41806 33381 24838 40604 17704
22124,3957 10017
22159,30811 24852 46886
22213,43929 2913 35221
22240,15221 6789 17691 46361 29743 5025 33671 44177 43772 12916 14952
22245,13176 27521 42265 21616 48277
22249,24852 45674 14999 28427 27761 519 27344 15780
22255,3835 11123 18677 26790 13176 24079 2086 18531 5015 11352 41375 26165 30391 22963
22285,43352 20940
22323,24273 14118 12296 26119
22324,31231 11123 46992 47877
22336,28985 24852 11520 12395 40706 46979 24964
22447,33873 44632 6615 11068 23452 22963 5426
22453,19660 45007 39928 47630 32734 12872 41610
22467,13176 38739 5785
22503,42958 44359 21903 45603 8736 37067 6287 22151 8518 34993 20437 17044
22629,39190 44987 30994 13176 48695 24852 10851 4957 20842 33000 5077 18105 46572 48377
22923,15070 7156 13176 13031 14652 39216 21938 27104 23233 39190 32537 21137 19057
22935,1234 24852 22089 16185 21616
22941,47626 38739
22955,5479 30639
23032,1940 18926 40354
23071,38689 5115 4942 29487 47766 45303 25198 16759
23097,43352 13176 26604
23099,6369 15100 44799 26318
23221,35951 26298 32465 5025 47792 17872 5134 7781
23255,24852 30391 5646 210 47766 18465 45679 27509 5564 28601 40709 43713 46616 33647 19678 5684
23270,19863 25830 24361 40338
23281,5785 15693 18523 33787 21469 45223 27086 18606 14917 30726 4957 21137 10586 46676 13176 39332 13877 39964 22963 13512 9637 37646 39475 22035 1463 33572 22825
23318,23148 24852 6300 25965 11865 28204
23367,5785
23379,3308 20632 20851 13176 20561
23392,26209 4210 24852 28204
23440,47766 24852 12075
23500,49416 35842 24838 44624 13176 18070 27695 6734
23528,9292 46341
23541,9411 39464
23547,32915 11233 24852 49098 22108 4605 35342
23626,40852 15767
23668,24852 35547 24838 16589
23854,10032 47141 25443
23873,35951 44632 24852 43961 28204 45 30489 21903 27104
23877,21137 39619 23029 29898 17794 42507 32782
23906,29447 13176 9839 31915 46620 39928
23910,6184 12341 42803 12427 11266
24131,11707 1504 45448 3397 48988
24153,13176 29487 31717
24185,31231 9444 30489 21137 44201
24212,27423
24223,13176
24237,30827 35561 13176 43352 21288 39275 8048
24265,24716
24333,20940 48762
24335,16732
24372,9175 47877
24435,45687
24444,12341 25906 27521
24477,28745 42900 10874 18286 432 20876
24494,47209 13176 10753 12384 33575 21903 27966 9755 16387 47759 3957 24062 24830 13874 31717 35176 36735
24508,40777 26558 21903 47144
24511,31596 47912 17224 21386
24517,13176 35221 20119 27845 21267 4957
24541,30921 36259 28204
24580,28204 5077 24852 4377 29487 5450 48927 8920 10613
24582,22046
24590,8859 24852 49683 5144 45007 46802
24646,5785 19057 5450 28204 21567 24852 25513 16262
24752,13176 30420 47780 28204 1940 49683 47209 44116 44098 7781
24777,47626
24873,41290 15374 20786 41371
24883,13646 5876 49235 40706 27336 40604 29127 37646
24912,17794 27845 11520 16154 29307
24950,24852 46724
25009,35752 34050 24852 7533 37066 40174 46817 6099 34702 9558 38664 37766 16797 46307 2229 13944 12218 29698 43632
25068,47766 21903 28985 48957 24852 12581
25079,2962 16797 28289 28934 25133 30489 7461 24852 21903 42244 34969
25095,39276 32102 23909 1548 40486
25154,47626 14996 27413 27471 22474 26497 26209 8555 34034 33401 10369 46107 27881 23734 13535 486 44142 43928 13848 32839 16185 21376 20580 27966 12206 31343
25164,19660 6347 6508 30784 48747 47823
25192,47900 38273
25205,27966 21137 19057 33000 28985
25223,24852 20842 49517 7075 20314 812 4037 45066 45948
25254,29848 10453
25388,16797 4920 6359 9358 6184 21313
25411,None
25427,1240 13176 23060 3321 40872 47209 35689 26028 27966 26790 8277 14074 31092 7963 37349 32285 30489 23025 42533
25537,13176 17706 47209 48865
25653,24852 26209 37646 38293 28601 46979 21903 7156 30391
25662,43889 21903 19677 13176 4658 25 30169 25811
25663,1194 27966 24838 20084 21137 47209
25687,47209 45007 47626 22935 13517 5450 19348 28204
25782,30489 1360
25850,4920 25931 14084 35547 7781 46979 19006
26010,18523 48270 17316
26180,33198 8859
26185,39928 35108 30353
26282,3880 11123
26289,23909 4313
26301,24852 47766 21115 1760 45066 13740 36856 38371 44116
26320,27521 5876 24852 11140
26383,27985 24852 13029 41116 9405 9076 1117 44799 39921 16647 49610 49683 19429 41950 26604 17795 48246 19809 34619 9207 31883 40255 49139 2416 15100
26393,9955
26413,13176 27156 37897 22935 43789 25197 13727 26475 43086 18234 34243 8339 47610
26473,33768
26483,35503 47766 24852
26511,30489
26534,26759 890
26601,24092 13176 30309
26626,39369 31394 1181
26674,13176 43394 27845 15872 45007 5883 33768 4920 41065 28985 9808 25138 42265 48745 5456 21938
26697,9839 34050 31553
26705,24852 28985 35946 8277 16616 47209 48802
26707,37935 21872 27730 22035 19446 34335 24852 44275 47766
26717,24857 27966 39160 26165 1172 30756 1700
26720,27845 47209 9018 47626 24964 28842 44961 5025 26209 44987 5479 11068 48230 27323 45368 18382 6104
26776,18104 14114 24852 47519 26706 27179 5550 16797 17122 29695 42450 45475 34298 21150 17949 28632 12333 5077 4920 6975 38739 37725 10467 20802 24024 41709 14493 23060 4349
26778,47766 46402 26165 32655 47626
26951,47766 17577 32655 39408
26979,6184 37710
27093,45335
27095,47766 45066 22124 14947 4945 21137 42585 8424 20600 15290 31683 22959
27121,33754 39475 24852 33787
27125,44632 33198 22035 42719 34214 23576
27168,24852 1940 781 5479 21137 27551 21162 10749 22825 23334 27845
27260,17157 23423 23288 4724 19691
27317,24852 19691 5729
27357,13176 7054 40706 21903
27364,10429
27370,28083
27373,43631 30021 4493 46844 8174 13176 44359 41276 21137 25204 35419 20694 36186 31717 40672 27903 17080 37357 28985 4562 9 5876 8195 45622 17079 47599
27427,27966 30489 5785 13176 47209 22716 6680 47144 14947 48720 41332 45276 14126 32880 17794 18362
27486,15134 35430 38456 37940 32446
27604,47626 26209 4605 8193 162
27632,24852 23322 39408 40354 43459 3696 40709
27716,5646 13851 36640 31040 33120
27738,25890 10017
27798,28535 28199 47626
27887,43631 47977 36316 47877 17631 31124
27919,13176 25138 2228 11018 36164 12283 40723 44642 43394 48186
27929,6128 40332 15866
27937,27845 5450 2611 15399 260 21137 30489
27971,30183 16797 12817 19340 8228 31278 46946 18327 27344 45013 46448 29546 13166 35386 36316 6348
27989,46738 16797 4920 36640
28033,33000 17803 8518 20144 31717
28049,21903 5785 16908 45224 24964 5876 19782 3952 47209
28089,38200
28187,37317 22900 43352 21288 21385 5258
28211,20754 36207 3599 6489
28316,24852 1511 44632 24273 44085 49683 4085 10673 40332 2029 35909 7413 46327
28363,13176 47766 48679 47626 22825 27966 26369 20995 9387 30391 34654
28369,13176 12341 46979 30391 44683 41950 1640
28467,27845 47626 40396 10017 47209 22035 40310 11452 27086 49683 30391 49236 21137 13176 40709 35510
28493,12341 27683 35121 34844 30233 41950 17429 20995 11844 28790 28535 35939 39429 20520 5449
28634,40174 39160 47626 13176 47792
28651,13176 44397 8277 48857 39475 42445 23029 23644 17487
28707,47209 24838 32864 24964
28710,21267
28715,35951 41330
28763,45954 3921 9196 4210
28767,6442 38444 927
28777,4564 24852 14493 18439 11182 28993 3999 49383
28823,41220 4313 43822 27179 39408 32211
28858,5479 18465 47209
28869,17487 45763 25931 47626 27845
28873,27966 11945 432 34126 41325 21137 26940 47209
28926,6933 14371 40002 40198 21463 8490 28465 37656
28969,23753 15780 20738 14005 4137 47890
28986,4142 1710
28995,36436 4347 46475 32303 8153 12738 41625 43295
29073,25340 24852
29096,17224
29193,47766 32831 39928 27730 27959 21267 12614 11512
29212,35108 26165
29213,24616 45311 45603 30776
29282,19057 27521 23554
29283,47766 28851 28204
29511,36923 432 13176 17461 40706 21903 28851
29593,24852 47438 45531 49141 30352 37011
29600,24852 23909 47362 30024 41148 25146 25340 25588
29615,18765 47626 9825 44632 7781 41290 12033 27695 46616 36865 47144
29648,26209 24852
29737,28782 16797 46906 24852 31040 26604
29834,24852 47626 44632 26604 8277 45066 43961
29848,38200 24235 35914 35045 28842 25146
